"Title","Organisation","Synopsis","Programme","Specific objective","Group(s) targeted","Geographical area","Region","Total Operation Cost at approval","Total ESF at approval"
"M-SParc ","Bangor University ","M-SParc will construct and provide accommodation and ancillary services for science based industry facing projects. Its strategic objective will be to provide support for the development of smart specialisation clusters with a focus on commercialising research and development and innovation in the low carbon energy and environment (80%) and ICT (20%)sectors ","ERDF","SO1.2: To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs ","SMEs & HEIs ","West Wales & the Valleys ","North West Wales ","£20.2m ","£10.2m "
"SER CYMRU II ","Welsh Government – Economy, Science and Transport Dept. ","A fellowship scheme to form part of the Chief Scientific Adviser for Wales’ strategy to build research capacity in Wales. 
The scheme will complement the Marie Sklodowska-Curie Actions COFUND proposal that WG will submit to the European Commission for review in October. 
The Welsh Fellowship Proposal will support fellowships in any areas of research of relevance to the three pillars in the Science for Wales strategy, with particular focus on smart specialisation and innovation. High quality researchers and research proposals which are driven by innovation will be prioritised. Applications to the scheme will come from individuals who have identified a University partner who will sponsor the fellowship (this is a requirement). Payments will be made to the university. Placements will be 3 years in duration. Over half of the fellowships are expected to involve collaborations with industry. 
The scheme will support individuals: 
i) coming into Wales from anywhere in the world and will have transnational mobility (as with COFUND) and 
ii) UK applicants who will be based in Wales ","ERDF","S.O. (1.1) 
To increase the success of Welsh research institutions in attracting competitive and private research funding. ","Researchers within the UK and Globally ","Pan Wales ","West Wales and the Valleys & East Wales ","£39m ","£22.7m "
"Beacon+ ","Aberystwyth University, partnered with Bangor University & Swansea University ","Beacon+ will harness the capacity of biorefining (the process of transforming plants into products via physical, chemical and biological means) to add value to Welsh natural resources. By undertaking collaborative R&D with business Beacon+ will translate academic knowledge into product innovation, thereby giving Welsh companies’ competitive advantage to achieve sustainable growth. ","ERDF","1.2 To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs ","
1. New and existing SME’s in the convergence region 
2. Larger private organisations 
","West Wales & the Valleys ","West Wales & the Valleys ","£12m ","£7.9m "
"Advanced Engineering and Materials Research Institute ","TWI Wales ","TWI will build the first specialised Structural Integrity centre, where advanced engineering materials and low-carbon energy innovations are developed and validated using full scale test structures currently unavailable in the UK. The centre will optimise simulation and develop high speed automated inspection to ensure the safety of critical structures. ","ERDF","1.1 to increase the success of Welsh research institutions in attracting competitive and private research funding. ","Industrial companies throughout the UK will be supported. 
Collaborations will be sought with all Welsh Universities ","Port Talbot Harbourside (West Wales and the Valleys) ","West Wales and the Valleys ","£12.9m ","£7.5m "
"Sustainable Product Engineering Centre for Innovation in Functional Coatings (SPECIFIC) ","Swansea University ","SPECIFIC is an academic and industrial consortium led by Swansea University with significant industrial partners. Its vision is to address the challenge of low carbon electricity and heat by enabling buildings to generate, store and release their own energy, in one system, using only the energy from the sun, i.e. ‘Buildings as Power Stations’. 
At its core is the SPECIFIC Innovation and Knowledge Centre (IKC) (the only one in Wales), which was set up in 2011 funded by the Engineering and Physical Sciences Research Council (EPSRC), Innovate UK (formerly Technology Strategy Board) and Welsh Government funding. Since its inception, SPECIFIC’s has established an expanding network of academic and industrial partners and the development of new technologies which are ready to be progressed and adopted for industry commercialisation. ","ERDF","S.O. (1.2) To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs. ","Welsh companies ","West Wales and the Valleys ","West Wales and the Valleys ","£26.28m ","£14.98m "
"FLEXIS – Flexible Integrated Systems ","Cardiff University","To create a world class energy systems research capability in Wales, by bringing together research experts specialising in energy networks, infrastructure, resources, storage, load management, demand and safety management, who will adopt a systems approach to energy challenges, both within Wales and internationally. ","ERDF","(1.1) To increase the success of Welsh research institutions in attracting competitive and private research funding. ","
 Welsh-based academics/ researchers working in the energy environment sector. 
 Welsh based SMEs 
 Large companies, including multi national and anchor companies. 
 Domestic energy consumers. 

Industrial energy consumers ","West Wales & the Valleys & East Wales ","West Wales & the Valleys & East Wales ","£24.4m ","£15.1m "
"Computational Foundry ","Swansea University ","
 A Capital build to house high-end research facilities and 
 Revenue costs to fund existing researchers in the computer science field and the recruitment of specialist staff to support the academics on winning competitive research funding. 
 The Computational Foundry will increase the amount of research funding secured for Higher Education Institutions by providing state of the art facilities and increasing capacity within Swansea University to work closely with industry to understand their future research needs in order to deliver collaborate research. 
","ERDF","S.O. (1.1) To increase the success of Welsh research institutions in attracting competitive and private research funding ","Higher Education Institutions and other institutions. 
Private sector businesses investing in Research & Development. 
Internationally recognized and world-class research collaborators. 
Anchor companies, large companies, small to medium sized enterprises, with a focus on Computer Science. ","West Wales and the Valleys ","West Wales and the Valleys ","£31.1m ","£17.1m "
"Entrepreneurship Support – Business Wales ","Department for Economy, Science and Transport (Welsh Government) ","This operation will deliver entrepreneurship promotion and support to Wales based entrepreneurs and young growth businesses in order to develop an entrepreneurial environment and sustainable stock of young businesses in Wales. 
The operation targets an improved entrepreneurial environment and an increase in number of sustainable business starts ups in Wales leading to an increase in jobs and business growth. ","ERDF","SO2.2: To increase the number of SME start-ups through the provision of information, advice and guidance. ","Individuals, SMEs ","Pan Wales ","West Wales and the Valleys and East Wales. ","£41.3m ","£24.8m "
"SME Support – Business Wales ","Department for Economy, Science and Transport (Welsh Government) ","The operation will support micro businesses and SMEs in Wales to grow and prosper. The Welsh Government in collaboration with its partners in the public, private and third sector will deliver a comprehensive and tailored information and support package to enable job creation, wealth and business growth in Wales. ","ERDF","SO2.4: To increase the growth of those SMEs with growth potential, in particular through accessing new markets (both domestic and international). ","SMEs ","Pan Wales ","West Wales and the Valleys and East Wales. ","£44m","£26.4m"
"Social Business Wales ","Wales Co-operative Centre ","Aligning to the Business Wales provision this operation provides an overarching service to support growth social businesses in Wales. Social businesses include social enterprises, mutuals, co-operatives and employee owned business. The operation aims to grow the social business sector and create good new quality jobs. It will support consortia development and work to build the capacity of SMEs to access procurement opportunities and will provide support for business succession and employee ownership. ","ERDF","SO2.4: To increase SME productivity and promote business growth through the provision of advice and guidance. ","Social Enterprises and SMEs ","Pan Wales ","West Wales and the Valleys and East Wales ","£11.1m","£6.3m"
"Superfast Broadband Business Exploitation ","Department for Economy, Science and Transport (Welsh Government) ","The proposed operation aims increase to the economic return of superfast broadband infrastructure by escalating it’s use by SMEs. This will be done by increasing the understanding of the technology and it’s benefits; an upturn in adoption of superfast broadband by Welsh SME; and an increased exploitation as more SMEs use the technology to improve their businesses. ","ERDF","SO2.3: To increase the take-up and exploitation of NGA networks and ICT infrastructure by SMEs ","SMEs ","Pan Wales ","Pan Wales ","£12.4m","£6.9m"
"Wales Business Fund ","Finance Wales ","The proposed funds will address market failure in the provision of finance to SMEs by establishing an investment fund which will invest in SMEs, thereby increasing the amount of finance available for both start-up and existing SMEs pan-Wales. Access to Finance scheme(s) such as loans, equity and mezzanine finance including for micro-finance and risk capital are identified as a backbone or core activity in the Economic Prioritisation Framework. In order to ensure full consideration of key demand drivers and existing capabilities a full ex-ante assessment, including a market capacity analysis is being conducted. ","ERDF","SO - 2.1 To increase the amount of finance available to SMEs for both business start-up and for business expansion ","Start-up and existing SME’s ","West Wales and Valleys and East Wales. ","West Wales and Valleys and East Wales. ","£135.9m ","£75.9m "
"Deep Green 1.5MW Holyhead Deep ","Minesto AB ","The establishment of the Minesto UK HQ in Anglesey, Wales, and the development of a 1.5MW Deep Green low velocity tidal energy array in Holyhead Deep, off the coast of Holyhead, Anglesey, Wales. ","ERDF","SO3.1: To increase the number of renewable energy devices being tested in Welsh waters and off the Welsh coast, including multi-device array deployments, thereby establishing Wales as a centre for marine energy production ","The Marine Energy Sector ","Tidal array in Holyhead Deep off the coast of Anglesey, North Wales, Minesto UK HQ based in Anglesey. Potential grid connection point in Llaingoch substation (53.309761°N, 
-4.650777°E) close to Holyhead. ","West Wales and Valleys and East Wales. ","£25m ","£9.5m "
"Wave-Sub ","Marine Power Systems Ltd ","Design (Swansea), manufacture and testing of a 1:4 scale WaveSub prototype WEC within the Haven Waterway Enterprise Zone. ","ERDF","SO3.1: To increase the number of renewable energy devices being tested in Welsh waters and off the Welsh coast, including multi-device array deployments, thereby establishing Wales as a centre for marine energy production ","The Marine Energy Sector ","Swansea and Haven Waterway Enterprise Zone, Pembrokeshire ","West Wales and the Valleys ","£3m ","£2.1m "
"Tourism Attractor Destinations ","Welsh Government Economy, Skills & Natural Resources Group ","To deliver a small number of regionally prioritised strategic tourism infrastructure projects that will help raise the quality and perception of destinations in Wales and encourage business investment and employment growth within the tourism sector in the region. ","ERDF","4.4. – To increase employment through investments in prioritised local or regional infrastructure supporting a regional or urban strategy. ","The specific target groups for the operation will be local authorities and organisational stakeholders that have an interest in tourism delivery. ","West Wales & the Valleys ","West Wales & the Valleys ","£84.8m ","£27.7m "
"Third Sector European Team ","Welsh Council for Voluntary Action (WCVA) ","The third sector European team, will deliver a Pan Wales, specialist support service, that will comprise a rolling programme of training, information, advice and support. ","ERDF","5.3 To enhance the integration and complementarity of investments with other ESI funds and wider Commission led and Sector based programmes ","Third Sector ","Pan Wales ","Pan Wales ","£11.1m ","£7.8m "
