"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Visual Access NI Ltd","Skills for Future Employability (SFE Project)","2011","148,698.00","","44,799.20","BT15 2GG","P1","£ 228,774.00","The purpose of the project is to train a total of 24 candidates in both IT skills and personal development skills in order to maximise their opportunities to access the employment market and/or allow access to additional training or personal development that will do likewise.     The project has been deliberately designed as two consecutive periods of training with 12 candidates on each course in order to maximise benefit to each candidate."
"Extern","AXIS RECYCLE","2007","1,417,904.00","","988,244.50","","P1","£ 2,268,892.00","This project will provide a range of recycling training activities for offenders providing them with qualifications, skills and work experience within a real factory experience.The project will  equip and help  them to  over come the current multiple barriers they face in getting employment."
"Intercomm","The Womens Enterprise Project","2007","264,937.00","","38,183.25","BT15 5AA","P1","£ 407,598.00","The project aims to provide 45 disenfranchised women in North Belfast with the skills necessary to initiate, develop and manage micro-enterprises and create self-employment opportunities. The programme is to be a hybrid of business and product training. Women will learn how to produce and market handmade products under the instruction of a team of professionals.    The Programme will also work with employers ti identify skill gaps and lone parents in these needs.    Given the age range the programme had to ensure that it would be of interest and accessible to all the learners"
"Training Programmes Branch","ApprenticeshipsNI and Training for Success Apprenticeships","2007","160,157,962.00","","160,053,746.09","","P2","£ 160,157,962.00","ApprenticeshipsNI offer a diverse range of training and the opportunity to gain nationally recognised qualifications giving you the skills you need for your chosen career.      As an apprentice you will be with an employer and in paid employment from day one.  How much you are paid will be agreed with your employer before you start.  There are over 100 apprenticeships currently available.  For example you may wish to consider Computer Science, Construction, Motor Vehicle, Electrical and Mechanical Engineering, Catering to name a few.    Once you sign up to ApprenticeshipsNI you will begin to get the training and qualifications necessary for your career and what employers want.  Don't worry about the cost, ApprenticeshipsNI will ensure the full cost of your directed training is met.  Once you complete you will have formal qualifications that are recognised by employers worldwide.    ApprenticeshipsNI are delivered jointly by Employers and Training Suppliers to ensure that you:    get first rate training   build knowledge and skills   gain qualifications   earn a wage from day one"
"Department of Finance and Personnel","Member State Technical Assistance Category 85: Programme Administration","2007","480,412.00","",".00","","P3","£ 480,412.00","DFP has responsibility to represent the Member State function in relation to the Competitiveness and Employment programmes. In this role it incurs expenditure eligible under Technical Assistance in relation to areas of common interest to the two programme, ie:  •   Provision of a database system;  •   Secretariat of the joint Monitoring Committee;  •   The Equality Working Group;  •   The Environment Working Group;  •   Support for Local Authority representatives;   •   Member State publicity activities  This application is for the above activities which fall under the European Commission’s category 85 – preparation and administration of programmes, that is all the above activities except publicity. DFP will spend money and divide the costs equally between the two programmes. This application refers to the Northern Ireland ESF Programme 2007-2013."
"European Unit","DEL Technical Assistance Expenditure","2007","7,000,000.00","","4,418,684.42","BT2 8FD","P3","£ 7,000,000.00","Covers all Technical Assistance used by the department in managing and promoting the Northern Ireland European Social Fund."
"Department of Finance and Personnel","Member State Technical Assistance Category 86 Publicity and Evaluation","2007","172,000.00","",".00","BT16 1US","P3","£ 172,000.00","DFP has responsibility to represent the Member State function in relation to the Competitiveness and Employment programmes. In this role it incurs expenditure eligible under Technical Assistance in relation to areas of common interest to the two programme, ie:  •  Provision of a database system;  •  Secretariat of the joint Monitoring Committee;  •  The Equality Working Group;  •  The Environment Working Group;  •  Support for Local Authority representatives;   •  Member State publicity activities  This application is for the above activities which fall under the European Commission’s category 86 –member state publicity activity. DFP will spend money and divide the costs equally between the two programmes. This application refers to the Northern Ireland ESF Programme 2007-2013."
"Clanrye Group","Newry Technology Centre","2011","624,433.55","","92,631.66","BT35 6BH","P1","£ 960,667.00","Newry Technology Centre, (NTC) was successful in securing funding in the previous tranche ESF funding under Priority 1: Helping people into sustainable employment. This application is being made to continue the work of the project building on the project's achievements to date and developing the project by providing additional training services and extending employment opportunities, training opportunities and tackling personal barriers of people who are economically inactive as a result of having disabilities and health conditions living in Newry and Mourne, Dungannon, Armagh, Craigavon, Banbridge and Lurgan."
"Training Programmes Branch, Department for Employment and Learning","Training for Success Programme Led Apprenticeships","2010","96,730,440.88","","94,393,528.99","BT1 5EX","P1","£ 96,730,440.88","The project is a response to the government skills strategy and the economic downturn.  The project ensures that those who have been assessed as being capable of achieving a Vocationally Related Qualification at Level 2, but who have not yet secured employment are prepared for future progression to employment as an Apprentice.    Some examples of the varied range of training:     enabling you to identify opportunities for training and employment      building confidence and understanding through a range of cultural, recreational, individual and team activities   helping with interview skills and the completion of job applications      achieving a relevant qualification      basic First Aid, ICT, Health & Safety      job specific training  Job experience and job sampling based on your needs gives you the chance to experience different workplaces and decide what sort of work suits you best.  It is based on the vision of a globally competitive economy with people who are entrepreneurial and innovative, on an expanding workforce where migrant workers play a valuable role in the economy and individuals are more literate, numerate and have sufficient information and communications technology (ICT) skills.  Individuals will be able to solve problems, work in teams and learn new skills throughout their working lives.  TfS is a core part of government programmes to help people into employment.    The project will have additional funds available to help those who are disabled or disadvantaged and who need additional time or specialist help to achieve their targets."
"Upper Springfield Development Trust","Jobs on the Move","2011","681,535.00","","231,420.93","BT12 7FP","P1","£ 1,048,520.00","Linked directly to LEMIS provision, the project will utilise an outreach model to engage with the hardest to reach/hardest to help within West Belfast.  Once engaged people - identified as those furthest from the labour market - will be provided with:  - employability mentoring that focuses on removing barriers to employment  - access to a needs-led Discretionary Fund that provides financial support for skills development linked to job opportunities  - access to pre-employment programmes linked directly to job opportunities  - access to modern, effective jobsearch facilities supported by mentoing staff to support people through this process  - access to current job opportunities both locally and on city-wide basis and advocacy through an Employment Liaison Officer    We will work proactively with ESF providers in other parts of the city - such as Ashton Centre, Gems NI, Inpact Training and Stepping Stones - to ensure synergy, joint-up strategies, cost efficencies and added value."
"Enterprise Northern Ireland","Exploring Enterprise (2011 - 2013)","2011","2,355,872.00","",".00","BT49 0HE","P1","£ 3,624,421.00","The project will target disadvantaged groups who are experiencing difficulties trying to enter/reenter the labour market.  It will encourage them to explore the option of self employment through a personal and enterprise development skills programme, which includes a personal action plan, 1:1 mentoring, networking opportunities, aftercare support and a recognised qualification."
"Ashton Community Trust","Progress to Employment","2011","843,271.00","","281,961.10","BT15 2GN","P1","£ 1,297,356.00","The project seeks to establish a programme to ensure the inclusion of those groups of people who lack the necessary skills needed to compete in the labour market and who because of this are finding it difficult to obtain substantial and worthwhile employment. The project seeks to take a pro-active approach to engage with these groups of people by providing them with quality, accredited training, employability skills, educational skills and personal development skills that will meet their needs and match that of employers needs and will lead to greater employment opportunities."
"Banbridge District Council","Restore ""Banbridge Re-use and Training facility""","2011","351,403.00","",".00","","P1","£ 540,620.00","Restore, a bring and buy reuse shop for second-hand household furniture and electrical goods, was opened by the Council at its recycling centre on the Scarva Road in Banbridge in June 2009 with a view to extending the life of large, unwanted items of reusable household furniture and electrical goods - thus diverting the many tonnes of perfectly reusable items of furniture from landfill.     This pioneering project is the first of its kind to be established and run by a council in Northern Ireland. By salvaging and restoring these at the 3,000 sq. ft. warehouse, the Council is saving landfill space, reducing waste handling and disposal costs, offsetting the energy or raw materials needed to produce new products and creating training opportunities for local people.     Restore brings together all three strands of the Council’s sustainable development commitment - environmental, economic and social well-being. Environmentally, restore ensures that the life of household furniture is prolonged rather than prematurely discarded in landfill – thereby saving the planet’s supply of raw materials needed to produce new products. Goods are often only waste by virtue of the fact that the original owner has had them for a period of time and fancies a change. But given a new owner and a new home, the goods effectively become new again. Economically, restore helps reduce landfill costs on local ratepayers while at the same time making low cost household goods available to the public. Socially, it fulfils a valuable social role by creating training opportunities for local people. All profits from the sale of the refurbished, second-hand furniture will be ploughed back into restore.    Restore stocks a wide range of household furniture and white goods that have been sourced via the bulky waste collection service or donated directly by the public, including:"
"North City Training","Young Person's Employment Initiative (YPEI)","2011","447,945.00","","48,212.84","BT15 2GZ","P1","£ 1,048,893.00","The YPEI aims to provide young people aged 18-24 years of age, who have not been in employment for the previous 12 months with an opportunity to avail of a temporary waged employment lasting up to 26 weeks during a time of high unemployment and high economic inactivity levels across Norther Ireland."
"Compass Advocacy Network","Can Can STEP (Steps Towards Employment)","2011","401,222.00","","118,059.99","BT53 6JR","P1","£ 622,822.00","Compass Advocacy Network working with people with learning disabilities to enable them to gain the skills to access employment."
"East Belfast Enterprise","Lipstick & Money 2 Programme","2011","171,837.12","","44,904.59","BT5 4GX","P1","£ 264,364.80","The project aims to promote enterprise among women who are unemployed and who are deemed difficult to reach by the normal mainstream enterprise promotion methods. The project is based on experiences gained from a highly successful project run under the first Priority 1 call with DEL and ESF funding from 2008-2010.  The delivery of this project has revealed a significant ignorance of self employment by community organisations and the women they work with. The enterprise agency will work with several community organisations that specialise in supporting women. The model is as follows:    •	Enterprise agency provides training and support to Community Workers to improve their understanding of enterprise  •	Enterprise agency produces training materials and marketing materials  •	Community organisation recruits women from their local area   •	Enterprise agency delivers training and mentoring to women in their environment and at a level and pace that suits their needs  •	Enterprise agency, with community organisation, also provides women with 121 mentoring and business visits  •	Focus of the training and mentoring is to make the topic of enterprise fun and encourage women to ‘aspire’ to greater success and income generation  •	Women as a result gain confidence to go onto other training programmes, including Go For It programme, which they would not normally have the confidence to do, onto Steps to Work for Self-Employed or onto jobs within small businesses, having gained further understanding of the sector and enhanced their employability skills."
"Triangle Housing Association Ltd","Progression to Employment Service","2011","2,292,774.00","","486,519.82","","P1","£ 3,598,624.00","This project seeks to provide support services to individuals with Learning Disabilities and Autistic Spectrum Conditions to assist with addressing the employment needs of individuals and aid their progression towards open employment opportunities within their communities. The service will combine the use of the Supported Employment and the Social Enterprise methods of intervention within a service continuum model."
"Include Youth","The Give and Take Scheme","2011","2,749,921.00","","897,994.79","BT1 1QA","P1","£ 4,230,650.00","The Give and Take Scheme aims to improve the employability and increase the self esteem and confidence of vulnerable young people aged 16 to 21 across Nothern Ireland."
"Workforce Training Services","Employment Connections","2011","437,057.00","","121,246.73","","P1","£ 672,396.00","Workforce Training Services aim to provide vocational training and qualifications to those most disadvantaged in the Greater Belfast area. We aim to target those who are unemployed, in part time employment with no qualifications and those men and women who are returning to work from a period of inactivity or unemployment.    Workforce will deliver the training in a flexible and supportive environment, with its main priority being that these candidates most in need, will be given the opportunity to gain qualifications, confidence and enter into sustainable employment."
"Ashton Community Trust","North Belfast Works Project","2011","664,457.85","","206,879.12","BT15 2BP","P1","£ 1,022,242.85","The project seeks to establish a programme to ensure the inclusion of those groups of people who lack the necessary skills needed to compete in the labour market and who because of this are finding it difficult to obtain substantial and worthwhile employment. The project seeks to take a pro-active approach to engage with these groups of people by providing them with quality, accredited training, employability skills, educational skills and personal development skills that will meet their needs and match that of employers needs and will lead to greater employment opportunities."
"Ashton Community Trust","Women Into Training Project","2011","341,145.00","","118,888.82","BT15 2BP","P1","£ 524,844.00","The project seeks to establish a programme to ensure the inclusion of those groups of Women who lack the necessary skills needed to compete in the labour market and who because of this are finding it difficult to obtain substantial and worthwhile employment. The project seeks to take a pro-active approach to engage with these groups of people by providing them with quality, accredited training, employability skills, educational skills and personal development skills that will meet their needs and match that of employers needs and will lead to greater employment opportunities."
"Lenadoon Community Forum","Lenadoon Community Forum Training For Employment Project","2011","278,768.00","","117,669.97","BT11 8BU","P1","£ 429,153.00","The aim of the Lenadoon Community Forum’s Training for Employment Project is to support, equip and upskill our participants with the necessary skills and qualifications to compete equally in today’s labour market.  Our target groups include:-    •	long-term unemployed  •	those inactive in the labour market  •	lone parents  •	those individuals who are poorly motivated and lacking in self esteem  •	those with little or no qualifications  •	women returners  •	those with disabilities and health problems  •	individuals experiencing multiple disadvantage  •	individuals who have had problems with dependency on prescriptive and non-prescriptive drugs and alcohol  •	those who are in employment of 16 hours or less per week    As a community organisation we are well placed to engage those individuals who are excluded or disadvantaged and have over 18 years experience in working with those most vulnerable in our community and we aim to support those individuals by addressing their learning needs through positive learning experiences."
"South West College","SUSE - Step Upto Sustainable Employment","2011","2,148,861.00","",".00","BT79 7AH","P1","£ 3,305,940.00","Increase economic performance in the south-west of NI by improving the employability over three years of 390 young people currently not in employment, education or training and/or who are “at risk”, via an intensive; structured; partnership-based programme which complements existing provision and involves local employers"
"Insight Accessibility Ltd","Skills to suceed","2011","274,037.40","","106,684.33","BT15 2GG","P1","£ 421,596.00","Training and accredited courses for all disabled  people."
"TIME Associates","Learn 2 Earn","2011","200,931.90","","89,757.00","BT9 6AY","P1","£ 309,126.00","Learn 2 Earn is a Belfast City wide programme founded on the provision of an industry-led approach to support those furthest removed from the labour market and address the personal barriers to achieve employment or self-employment they present. Our delivery model represents a strong partnership between TIME Associates and Belfast Metropolitan College alongside close collaboration with People 1st, the sectoral skills council for hospitality, leisure, travel and tourism, local employers , and  networks, agencies, key workers  that provide the overall support package and linkages required to provide participants with the opportunity to make employment work for them.   Learn 2 Earn offers a range of innovative sector specific, vocational, core employability skills and qualifications using methodologies designed to maximise learning and employment experiences and positively promote a range of career options including self-employment within the hospitality sector."
"First Steps Women's Centre","Women towards greater education and employment","2011","1,088,215.00","","223,708.50","BT70 1DX","P1","£ 1,674,204.00","Provide training in Essential Skills, GCSE's, IT, Health & Safety and Health Promotion/Work Skills Projects to prepare women for work. Also to provide work placements for women and to provide a one stop shop of support for women to get into employment. The support will cover all aspects including looking a social securiy benefits and the implications for taking employment."
"GEMS Northern Ireland Limited","M-Power","2011","615,290.00","","189,777.27","BT2 7DB","P1","£ 946,601.00","M-Power is an Engagement Mentoring and Careers Information, Advice and Guidance Project covering South and East Belfast which is  intrinsically linked to the local community tackling inter-generational worklessness, focusing on young people who are NEET and targeting geographical/spatial worklessness ""hotspots""     M-Power provides:   visible, pro-active, flexible, non-threatening mentoring/guidance for learning and work through:  >  Building relationships at community,   neighbourhood and street level   > Utilising established networks/”local intelligence”    >Interacting with a range of social systems, groupings and key stakeholders     > Targeting   workless “hot-spots”  through a frontline engagement programme at street level and   > Actively engaging employers as “partners for jobs”"
"GEMS Northern Ireland Limited","MEESP","2011","201,290.00","","69,723.62","BT2 7DB","P1","£ 309,678.00","The MEESP project aims to increase employment and reduce unemployment and inactivity by improving the employability of minority ethnic individuals by supporting them to identify and tackle their personal barriers to entering and competing effectively in the labour market.   MEESP provides culturally competent careers information advice and guidance, training to improve vocationally orientated language learning and training/support to develop the understanding and knowledge required for living and working in Belfast"
"NOW and  Stepping Stones","Workforce II","2011","2,062,195.00","","648,325.27","BT12 7DU","P1","£ 3,172,610.00","Supporting people with learning disabilities and difficulties to gain accredited qualifications and paid employment in their local communities."
"Gingerbread NI","Choices Plus","2011","917,504.90","","176,742.15","BT7 1HR","P1","£ 1,411,546.00","Choices Plus will help lone parents into sustainable employment through: an innovative programme providing training, careers advice and guidance, work taster sessions for lone parents; and through a partnership approach at local and transnational levels between the public, voluntary, educational and private sectors. Choices Plus will complement and add value to mainstream provision increasing the range of support to lone parents, allowing access to training and qualifications at higher levels and for longer periods than are available through mainstream programmes and by providing access to sustainable work opportunities."
"Extern Organisation Ltd","Extern Recycle","2011","1,686,680.00","","511,496.33","BT36 4TY","P1","£ 2,675,491.00","Extern Recycle is an employment training programme working with ex offenders and homeless people/"
"Ulster Supported Employment Limited","STEP (Skills Training for Employment Progression)","2011","1,627,623.00","","678,436.55","BT13 3JH","P1","£ 2,504,039.00","The STEP project aims to directly help move over 170 people with disabilities and health related conditions into sustained employment and to inprove the skills and ability of over a further 1500 people with disabilities to gain accredited training and therefore improve their potential to overcome any barriers to employment."
"Shankill Women's Centre","Education, Training & Employability Project","2011","464,131.00","","119,631.08","BT13 1FD","P1","£ 714,049.00","This project will focus on involving women, men and young people in education with the goal of becoming employable.  THis project will consist of a programme delivering classes that will serve individual needs.  Each individual will compose a progress chart and will attend classes accordingly.  Classes will range from Confidence Building and Personal Development to GCSE's and University Access Courses."
"Action Mental Health","The New Horizons Project","2011","6,272,448.00","","2,393,232.59","BT8 8BH","P1","£ 9,790,649.00","The New Horizons Project delivers high quality, person centred accredited pre-vocational and vocational training, employment programmes and specialist support services to people with mental health problems with a view to tackling the long term unemployment, social exclusion and economic inactivity levels commonly experienced by this group."
"NIACRO","JOBTRACK","2011","4,438,553.00","","1,494,847.14","BT2 7GS","P1","£ 6,829,602.00","ADVOCATING ON BEHALF OF OFFENDERS, EX-OFFENDERS, PRISONERS AND EX-PRISONERS WITH RESPECT TO ACCESSING THE LABOUR MARKET"
"East Belfast Mission (Stepping Stone Project)","jobs4u","2011","432,828.50","",".00","BT4 1HB","P1","£ 665,890.00","To engage with unemployed individuals; to develop and improve their employability and workforce skills, equipping them with the knowledge and confidence needed to find sustainable employmentT"
"North Belfast Employment Centre","Improving Your Future Prospects","2011","495,312.30","","131,677.19","BT15 2GG","P1","£ 762,019.00","The project will work exclusively with people with disabilities and health conditions and in particular people with mental health issues not in education, employment or training and with low qualifications.  It will examine barriers to their participation in the labour market and adopt initiative practices to alleviate these barriers and promote social inclusion."
"RNIB","Eye Work","2011","408,343.00","","155,849.08","BT2 8BA","P1","£ 628,220.00","This project will support 60 blind and partially sighted people to become job ready, seek and secure paid employment."
"The Orchardville Society Ltd","Orchardville Society Employment and Skills Service","2011","1,882,014.00","","800,486.04","BT6 8ED","P1","£ 2,895,409.00","The Orchardville Society is a local Voluntary organisation and registered charity which provides skills development, career development, employment and a range of social economy activities to over 200 people with Learning Disability and Autistic Spectrum Disorder in South and East Belfast. The Society was established in 1981 by parents, carers and professionals and was founded on the belief;  * that people with learning disability should have the same opportunity to employment as other people in the community.  The purpose of the Project is to enable people with learning disabilities to obtain real and economically viable employment opportunities by providing a range of person-centred career development, skills and employment services.  The Project will seek to address and overcome the general and specific barriers that prevent people with learning disability becoming full and economically active members of their communities through a diverse and innovative range of strategies and interventions.  The Project -   > will incorporate the core values and principles of the Supported Employment Model  > will provide:  * education, assessment, vocational profiling, CV development;  * a career development and transitions programme for young school leavers;  * external work placements in inclusive settings within all vocational areas throughout the public, private and voluntary sectors;  * internal training placements within four social economy businesses;  * a Job Finding service which will act as the vehicle to achieving sustainable paid employment.  > Will offer at various levels a Skills Ladder to ensure the ability and learning preference style of participants are met.  > Will work closely with awarding bodies and will be proactive in ensuring qualifications are Nationally Accredited and reflect the expectations and demands from employers.  In conclusion the Project will address the needs of young people and adults with a Learning Disability and Autistic Spectrum Disorder by offering a range of interventions which enable progression into the world of education and employment."
"Barnardo's Northern Ireland","Dr B's Kitchen","2011","685,113.57","","90,246.42","BT1 1LT","P1","£ 1,475,413.00","Dr B's Kitchen offers opportunities for young people with disabilities to train for and gain employment within the hospitality industry.  This target group faces significant risk of exclusion in the labour market. They will have the unique opportunity to train in the realistic working environment of our busy city centre public restaurant where they will gain industry recognised qualifications, skills, knowledge and practical experience."
"Women in Business NI Ltd","Women into Business","2011","385,923.20","","126,279.03","","P1","£ 593,728.00","Project to assist women into employment or self-employment"
"North City Business Centre","The E-Skills Programme for North Belfst","2011","194,898.00","","84,695.81","BT15 2GG","P1","£ 299,845.00","The purpose of the project is to provide training for economically inactive people in adapting existing social media skills so that they can be used for business purposes.  this will be done by providing training, mentoring and project matching with SME's for real projects to gain a Level II qualification.  As a result of participating on the programme people will move towards sustainable employment, self employment or progress to further training."
"The Cedar Foundation","The Cedar Foundation's Vocational and Employability Service","2011","5,410,555.00","","1,453,816.30","BT9 7AS","P1","£ 8,709,098.00","The Cedar Foundation’s project will deliver a Vocational and Employability Service which combats inactivity and improves the employability of disabled people by reducing or removing their personal barriers to work.  This will be achieved by:    •	Supporting disabled people not in education, training or employment to make the transition to vocational activity;  •	Undertaking person-centred, vocational guidance and action planning to advance participants’ vocational goals;  •	Facilitating participation in work experience placements;  •	Supporting participation in mainstream accredited training;  •	Delivering accredited essential skills(ICT/literacy/numeracy) to develop employability skills and prepare for work;  •	Working in partnership with employers to provide opportunities for participants; and  •	Follow up with participant leavers to sustain their outcomes.    Project activities include 3 key elements which can be delivered singly or as part of a comprehensive programme.    1.	Vocational Profiling, Facilitated Transitions and Action Planning  2.	Employability Skills:  Foundation Training – essential skills and personal development, enabling participants to operate more effectively in education, work and community settings.  In Tech – specialist ICT services, including accredited training, assessment and support to use assistive technology.  Vocational Rehabilitation – specialist support for people with Brain Injury and other conditions to re-build their skills for work/training following cognitive, behavioural and physical impairment.  Preparation for Work – focusing on disability related barriers to entering work/training, including career development, job search skills and employer expectations.  3.	Vocational Skills:   Provision of wide-ranging work placements and employment opportunities with tailored support.  Access to an extensive range of inclusive, community based educational, vocational and social opportunities.    Cedar’s project focuses on those with complex disabilities including congenital disabilities (e.g. cerebral palsy) and acquired disability (e.g. spinal injury) and emerging needs (e.g. Aspergers).  It supports those with brain injury, often resulting from road traffic accidents or stroke.  Participants may have sensory disabilities including visual impairments.  In vocational terms, Cedar targets those furthest from the labour market or those at an earlier stage in defining their vocational objectives and the support needed to achieve them.   The project will meet the needs of >800 participants over three years with an average occupancy of 360.   Cedar targets 90% successful outcomes for completers.  Outcomes include:    •	Employment;  •	Continuing Further Education/Vocational Training;  •	Vocational and other relevant qualifications;  •	Accredited essential skills;  •	Accredited preparation for employment and job-search skills;  •	Relevant work experience;  •	Enhanced levels of personal/social development;  •	Follow-up to sustain social/economic inclusion."
"Belfast Metropolitan College","Title: Further Progress - helping individuals into employment and self employment","2011","215,364.00","",".00","BT1 1HS","P1","£ 331,644.00","This project will not only target the unemployed and economically inactive but will also specifically aim to help individuals move from the black economy into sustainable legitimate employment"
"Fermanagh Rural Community Initiative","ERNE 2","2013","238,875.00","","39,086.39","BT74 6HR","P1","£ 367,500.00","Providing formal training opportunities for the economically inactive to empower them to develop themselves and their communities"
"Advantage","Youth Employability Programme","2011","508,357.25","","70,060.86","BT38 8GX","P1","£ 782,088.08","An innovative cost-effective programme for 50,000 unemployed young people to develop employability. This programme is endorsed by the CBI/IBEC Joint Council. The employability platform created includes a high quality interactive Employability Toolkit, employability support platform and employer mentoring network."
"Job Directions Ltd","Doorstep Job Directions","2011","128,892.00","","28,190.73","BT82 8AR","P1","£ 226,722.00","To provide a weekly bulletin of employment and training related opportunties and other information which prmotes the benfits of being employed to everty household in the Strabane Neighbourhood Renewal Area and to provide a Job Coach in those areas to privide practical job search support, encouragement and motivation"
"WOMEN'STEC","Extending Training in Communities-ETC","2011","672,150.05","","129,514.73","BT15 2GE","P1","£ 1,034,077.00","To engage women 16+ years of age women (lone parents, disadvantaged women, women with little or no qualifications & migrant women) and raise awareness & provide skills training which will engage women to consider employment.The programme will commence with Stage 1 Foundation Training, will lead to Stage 2 Training which will be tailored to focus on the skills & competencies required for their chosen progression route. By Stage 3 women will continue to be supported and mentored while they pursue their chosen progression route in the following: 	  Self-Employment 	  General Employment  	  Further & Higher Education Colleges	  Community/Voluntary Volunteering"
"Belfast South Community Resourses","Reach Project","2011","346,191.00","","67,032.43","BT12 5ET","P1","£ 532,602.00","The Reach Project will deliver on the NI Programme Priority One 	objective of getting people into sustainable employment by;    •	Creating routes to employment and training for disadvantaged individuals from the Sandy Row area and wider environs to tackle the economic inactivity, poverty and inequalities that affects their lives. This includes individuals from ethnic minority and communities of interest (disability).   •	Targeting those disengaged from education and training, resulting in their economic inactivity and increasing social exclusion and disengagement.   •	Supporting those nearest to the labour market to acquire vocational skills and qualifications and develop self belief.  •	Providing skills enhancement and training opportunities for all participants to complete accredited Positive Action Training Help [PATH] programmes at different levels.  •	Assisting participants and others to identify and tackle personal barriers to entering and competing effectively in the labour market and education.  •	Identifying participants skills levels, training and employment options at entry stage and throughout their participation.  •	Working with employers to organise study visits, short- term work placement sampling and local employment fairs.  •	Arranging visits to providers to “pipeline” participants’ into other vocational training to meet emerging employment and learning requirements.  •	Continuing to develop effective and strategic partnerships with a range of organisations’ and professional bodies to increase participants’ access to routes to further education and learning."
"Derry City Council","KICKStart To Work","2011","1,433,045.00","","646,768.86","","P1","£ 2,204,686.00","KTSW builds upon an established model piloted under the last call which increases employability and social inclusion of those removed from the labour market.  KSTW offers a range of services to Derry City Council residents designed to help overcome barriers that may be preventing them from taking advantage of local employment opportunities.    A key feature of the project is supporting individuals into employment by helping participants acquire/update their skills to find and keep employment, build the confidence and motivation needed to get and retain employment and deliver job search and employability courses providing employers with employees with the appropriate soft skills and attributes.    This client-centred aspect of the programme is balanced by a employer-centred approach which provides a job brokerage/employer engagement service to meet employers' recruitment requirements and the development of bespoke solutions to achieve a significant upskilling of working age population in relation to basic work skills and accredited qualifications which meet the needs of both the economy and employers.  To maximise these opportunities KTSW will engage with local forums including Derry City Council Investors Forum, Digital Action Team, Cultural Partnership Forum and City of Culture to develop demand led skills programmes to create pathways to connect the unemployed with economic opportunities from growth sectors including creative industries, digital economy and hospitality, leisure, travel & tourism.  The programme also includes the continuation of the intermediate labour framework and the implementation of the Social Clause of Targeted Recruitment and Training which has been piloted with ILEX Regeneration Company on the Peace Bridge and Parade Square."
"North West Play Resource Centre","Creative Approaches To Literacy","2011","587,780.60","","121,872.47","BT48 6RG","P1","£ 919,766.00","To provide OCN training in Performance, Creative Writing, Film / Video, Digital Photography & Web Design.   To provide CCEA Literacy.  To use the art form training to develop Literacy and ICT skills with:   •	Young People (Aged 16 – 19) Not In Education or Training and Who Have A Literacy Deficit  •	Prisoners who are Economically Inactive (aged over 19) in HMP Magilligan."
"North Belfast Employment Centre","Re-Start","2010","511,920.50","","21,761.46","BT15 2GG","P1","£ 787,570.00","This project is aimed at people aged 50+ who  are economically inactive due to illness, redundancy, caring responsibilities and long term unemployed and require re-training in new appropriate occupational skills. The project will target those people with a view to providing the necesarry training specific to their needs and the needs of employers"
"South Tyrone Empowerment programme","SETTLED - Sustainable Employment Through Training, Learning,Education and Development","2011","261,808.00","","10,036.43","BT71 6JT","P1","£ 402,783.00","To provide mentoring,  learning support and accredited training to those indivduals aged16+ who are the most underrepresented  and disadvantaged in mainstream opportunities for  economically inactive, unemployed and underemployed"
"Derry Youth & Community Workshop Ltd","Jobs for Us","2011","436,800.00","","113,094.98","BT48 6PJ","P1","£ 672,000.00","To engage and provide mentoring service towards employment, for those young people (16-24) who are disengaged from employment, education or training"
"East Belfast Enterprise","Health2Wealth Programme","2011","268,501.35","",".00","BT5 4GX","P1","£ 413,079.00","Aimed at unemployed sector with an interest in exploring and potentially pursuing self employment or employment in the fitness sector but do not at present have an experience or qualifications in this industry or an awareness of available options.    Fitness is currently a rapidly expanding industry sector which is bucking the trend by creating jobs rather than incurring job losses and as such is experiencing a skills gap.    Health2Wealth will be run in association with Leisure Industry Academy a leading local fitness training providing with an excellent track record of developing fitness professionals who have gone on to gain sustainable employment or become self employed.    The programme aims to inspire and motivate people with an interest in fitness as a hobby into gaining employment or consider self employment in this sector whilst gaining recognised qualifications (QCF Level 2 in Understanding Business, First Aid Certificate, Level 1 Fitness Professional )."
"RNID (Royal National Institute for Deaf People)","Employability Programmes for Deaf People","2011","291,142.15","","68,755.75","BT1 6AR","P1","£ 447,911.00","This project will assist Deaf people to get closer to employment. The project will ensure Deaf people access specialist benefits and employment service in partnership with Advice NI. That Deaf people take part in Employability programmes to include training, work placements and employment. It will increase the number of Deaf people accessing mainstream services by establishing job clubs. The project offers Deaf and hard of hearing people personalised support enabling them to make informed choices. Finally this project will create understanding amongst employers, learning providers and other agencies."
"Springvale Learning","Transition through Technology","2011","255,055.00","","35,440.29","BT12 7DB","P1","£ 500,155.00","Transition through Technology is a project which will improve the employability of those furthest from the labour market through training in IT/Digital Media, tailored one to one support and mentoring, and work experience in a social economy business."
"YouthAction NI","REACH","2011","375,624.00","","233,231.03","BT5 5HS","P1","£ 577,885.00","The purpose of the Reach project is to support through a range of quality  learner focused support measures and programmes, young people (aged 16 – 25 years) not in employment, education or training (NEET), who have complex needs and multiple barriers  to gain the skills, qualifications, personal capability  and resilience to improve their employability and their inclusion in society"
