"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Queens University Belfast","PoC21-Polymeric Microprojection Arrays for Transdermal Delivery of Active Pharmaceutical Ingredients","2008","73,817.00","2015","56,130.52","BT7 1NN","P1","£ 73,817.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC15A - A Sustainable Marine-Derived Bioceramic Filler for Hard Tissue Repair and Regeneration","2008","81,973.00","2014","63,593.06","","P1","£ 81,973.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC 23A - A Synthetic Gas Aging System for Automotive Catalysts","2008","80,122.00","2014","60,422.10","BT7 1NN","P1","£ 80,122.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 18A - Schottky Deviced for Temperature Monitoring and Hydrogen Sensing","2008","81,776.00","2015","66,917.61","","P1","£ 81,776.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC 24A - A Novel Pre-Filled Bone Cement Mixing and Delivery System","2008","80,416.00","2014","65,492.50","BT7 1NN","P1","£ 80,416.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 30A - Biosettler Prototype Product Trail","2008","81,979.00","2014","58,948.63","","P1","£ 81,979.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace"
"Queens University Belfast","PoC38A-Pain free management of chronic skin ulceration using a responsive and novel semi-solid hydro","2008","80,217.00","2015","38,075.39","","P1","£ 80,217.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC 35A - Development of Diagnostic Tools for the Rapid Detection of Inflammation within the Clinic","2008","76,996.00","2015","54,992.76","BT7 1NN","P1","£ 76,996.00","Development of Diagnostic Tools for the rapid detection of of inflammation within the clinic.    Activities that support the development of research excellence through strengthening the innovation infrastructure ensuring the transfer of technology from academia to the business base."
"Queens University Belfast","PoC 26A - Signature Specific Biomarkers For Bovine Tuberculosis Diagnosis","2008","78,819.00","2015","58,589.45","BT7 1NN","P1","£ 78,819.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 34A - WIMAX Threat Modelling","2008","81,468.00","2014","52,102.78","","P1","£ 81,468.00","To contribute to growing the knowledge economy in Northern Ireland by improving the level and quality of commercialisation coming out of NI’s two universities."
"Queens University Belfast","PoC 48A - Homochiral DNA and RNA Drugs","2008","76,632.00","2014","44,509.81","","P1","£ 76,632.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace"
"Queens University Belfast","PoC27A- Development, formulation and evaluation of novel ionic liquid based biocides for improved fo","2008","78,746.00","2015","51,553.55","","P1","£ 78,746.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC 44A - Saturn Secure Ad-Hoc Tracking Using RFID Networks","2008","70,863.00","2014","54,274.22","BT7 1NN","P1","£ 70,863.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 28A - Photodynamic Protection of Surfaces: Control of Healthcare Associated Infection","2008","74,319.00","2015","50,180.96","BT7 1NN","P1","£ 74,319.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC46A - Exploiting Green Biocatalysis For The Functionalisation of Phenolic Compounds in Synthesis:","2008","79,532.00","2014","51,303.10","BT7 1NN","P1","£ 79,532.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 33A - Microwave Curtain for Assest Protection","2009","81,862.00","2014","45,997.50","BT7 1NN","P1","£ 81,862.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC 47A - An Improved Method for The Detection and Localisation of Protein","2009","71,663.00","2014","53,939.82","","P1","£ 71,663.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"Queens University Belfast","PoC29A -Rapid Detection of Viable Mycobacterium Avium SUBSP Paratuberculosis Using Biacore Surface","2008","80,360.00","2015","58,276.54","BT7 1NN","P1","£ 80,360.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Queens University Belfast","PoC 40A - Infection resistent contact lenses and intraocular lenses","2008","81,223.00","2014","51,034.30","","P1","£ 81,223.00","Invest NI has previously indicated that it proposed the inclusion of Proof of Concept for ERDF drawdown under the CE Programme.      As Managing Authority, DETI requested that once this had been agreed internally it should then be formally presented to seek DETI approval for their inclusion as part of Invest NI’s CE programme output, and consequently be deemed eligible for ERDF draw down purposes."
"Rapid International Ltd","Project 10/I","2008","15,000.00","2014","9,161.62","","P1","£ 30,698.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Queens University Belfast","PoC 42A - Generation of an Effective Vaccine Against Human Respiratory Syncytial Virus","2008","73,348.00","2014","51,396.13","BT7 1NN","P1","£ 73,348.00","The Proof of Concept (PoC) programme supports the pre-commercialisation of leading-edge technologies emerging from Northern Ireland’s research organisations. The financial assistance provided by the programme helps researchers to export their ideas and inventions from the laboratory to the global marketplace."
"InspecVision Ltd","Project 1/II","2008","194,681.00","2015","132,365.86","BT40 2SF","P1","£ 531,703.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness"
"Apt Licensing Ltd","RD1208040","2009","263,628.00","2014","168,367.85","BT12 7FP","P1","£ 585,840.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Cunningham Covers Ltd","RD0109070","2009","29,506.00","2015","22,809.15","BT46 5DR","P1","£ 48,455.00","Re-investment by a locally-owned company- Growth Contract (trading>2yrs"
"Electronic & Security Services Ltd","LoO 08/1266 SFA","2009","20,800.00","2015","8,482.00","BT12 6HT","P2","£ 65,000.00","This project encourages entrepreneurship by supporting an established N. Ireland business to grow in external/export markets."
"Kingspan Renewables Ltd","Project 6/II","2008","205,986.00","2014","11,513.90","BT19 7UP","P1","£ 514,965.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness"
"Nifty Nosh Ltd","RD0309136 - Thin Client EPOS Solution for Web Enabled Take Away Food Sales","2009","34,480.00","2015","9,165.04","BT13 2JF","P1","£ 86,200.00","RD0309136 - Thin Client EPOS Solution for Web Enabled Take Away Food Sales"
"Moyfab Engineering Ltd","Project 3/II","2008","198,255.00","2015","170,029.46","BT34 4HL","P1","£ 495,638.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Titan IC Systems Ltd","SMNI07-042 - Regular Expression Processor (RXP)","2008","45,000.00","2014","25,201.94","BT3 9DT","P1","£ 62,700.00","To stimulate the creation of new, innovative businesses and to help existing small businesses improve their competitiveness by developing new products and processes to the benefit of the national economy."
"He-Shi Enterprises Ltd","LoO 09/0188 MIS","2009","8,625.00","2014","8,625.00","BT23 6BL","P1","£ 17,250.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses"
"Telestack Ltd","RD0209098","2009","55,724.00","2014","34,383.52","BT79 0NZ","P1","£ 159,213.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Sisaf Ltd","Project 1/I - Topical Delivery of Active Compounds for Skin Treatment","2008","15,000.00","2014","9,951.00","BT3 9DT","P1","£ 31,949.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Sengenia Ltd","SMNI07-013 - Fibre Optic Sensor for Structural Health Monitoring","2007","41,770.50","2014","33,005.87","BT7 1NN","P1","£ 55,694.00","To stimulate the creation of new, innovative businesses and to help existing small businesses improve their competitiveness by developing new products and processes to the benefit of the national economy."
"Larsen Manufacturing Ltd","Project 4/II - Development of an Economic Ready Mixed Tile Adhesive","2008","91,798.00","2015","52,419.21","BT3 9JL","P1","£ 262,280.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Copper Industries (Ireland) Ltd","Project 3/I - To Design & Develop More Environmentally Friendly Cylinders","2008","8,348.00","2014","6,956.52","BT41 3SF","P1","£ 16,696.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"B & H Precision Belting Ltd","LoO 09/0102 MIS","2009","12,175.00","2014","12,175.00","BT8 8NB","P1","£ 31,386.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Lynn's Country Foods Ltd T/a The Finnebrogue Venison Food Company","LoO 09/0009 MIS","2009","14,220.00","2015","12,855.00","BT30 9BL","P1","£ 28,260.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Northern Ireland Tourist Board","NI & ROI Autumn Campaign 2009","2010","1,356,228.90","2015","1,329,748.79","","P2","£ 1,356,228.90","Marketing Campaign to promote short breaks and day trips in Northern Ireland"
"Audio Processing Technology Ltd","Project 6/I - Broadcast Video Codec","2008","14,998.00","2014","3,163.77","BT12 7FP","P1","£ 46,998.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Wrightbus Ltd","Project 7/II - Micro Diagnostic Model/Tool for Hybrid Power Trains","2008","76,512.00","2014","60,604.48","BT42 1PY","P1","£ 191,280.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Fois Ltd","Project 1/I","2008","8,717.00","2014","3,156.96","BT3 9LA","P1","£ 17,434.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Munster Simms Engineering Ltd","Project 10/II - Intelligent Pressure Pump Head","2008","167,293.00","2015","123,936.22","BT19 7TA","P1","£ 418,232.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"BMI Trailers Ltd","Project 2/II - Fastfloor","2008","129,718.00","2015","73,906.19","BT71 7DX","P1","£ 324,295.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Precision Processing Services Ltd","LoO 09/BIA/02","2009","24,000.00","2015","24,000.00","","P1","£ 72,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Seagoe Technologies Ltd","Project 2/I - Development of Storage Heater Range for the Japanese Market","2008","14,302.00","2015","11,808.00","","P1","£ 28,604.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"CK International Ltd","Project 1/II","2008","169,562.00","2015","125,341.27","BT70 1LA","P1","£ 423,906.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Trade Mouldings Ltd","RD0109071 - Curved Door Project","2009","37,557.00","2014","27,489.15","BT80 9AR","P1","£ 83,461.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Advanced Sensors Ltd","RD0209096 - Water Cut Analyser with Online Probe","2009","124,351.00","2014","88,748.03","BT38 8YF","P1","£ 276,335.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Biocolor Ltd","RD1208007 - Cell Migration Assay Kit","2009","39,375.00","2015","33,668.46","BT38 8YF","P1","£ 57,290.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Biocolor Ltd","RD1208006 - Mammalian Cell Cycle Assay Kit","2009","39,375.00","2015","33,330.94","BT38 8YF","P1","£ 58,242.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Lucid Interactive Ltd","RD1208041 - Lucid Web Service Application","2009","106,979.00","2015","76,592.14","BT48 0LH","P1","£ 237,731.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Belfast Aircraft Stress Engineers Ltd","RD0309157 - Knowledge Based Engineering","2009","69,991.00","2014","44,690.49","BT16 1QT","P1","£ 97,332.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Industrial Research & Technology Ltd","RD0109084 - Tooth Bleaching Preparation with Integral Desenitising Agents","2009","112,185.00","2015","94,025.37","BT26 6AE","P1","£ 224,369.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Soltex Global Ltd","RD0109091","2009","18,208.00","2015","10,462.45","BT3 9DT","P1","£ 36,415.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Sharman D Neill Ltd","RD0209114 - Matrix 3D Computer Aided Jewellery Design and Visualisation","2009","10,400.00","2014","3,793.62","BT1 1FB","P1","£ 20,800.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Delta Print & Packaging Ltd","RD0309135 - Barrier Coating","2009","23,682.00","2014","14,338.89","BT11 9DT","P1","£ 47,364.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Etain Ltd","RD0109062 - Development of Business Networking Management Software Product","2009","9,540.00","2014","8,593.55","BT2 7GA","P1","£ 27,258.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Brian & Jill McKee T/a Allplay","LoO 09/0005 MIS","2009","10,725.00","2014","5,556.00","BT24 8RH","P1","£ 35,267.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Global Vetting Ltd","LoO 09/0488 MIS","2009","15,395.00","2015","14,825.00","BT67 0LE","P1","£ 31,550.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Three Software Ltd","RD0109089","2009","39,842.00","2014","39,392.46","BT28 2BP","P1","£ 88,537.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Datos Professional Solutions Ltd","RD0109088 - Season Scales and Season Factory","2009","41,039.00","2014","36,748.31","BT62 3DP","P1","£ 102,597.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Robert Patterson T/a Patterson Steel Products","RD0509211 - Storage Sheds","2009","38,400.00","2015","1,250.23","BT34 4LJ","P1","£ 64,000.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"NISP","National Industrial Symbosis Programme 09/10","2007","345,501.00","2014","277,897.95","BT63 5PP","P1","£ 345,501.00","The overall aim of the programme is to reduce environmental impact and to enable companies to become more resource efficient"
"Digestors, Silos  & Tanks Ltd","RD0409169 - Development of Underground and Above Ground Glass Reinforced Polymer Filament Wound Pipe","2009","55,424.00","2015","50,866.20","BT17 0QL","P1","£ 138,560.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"CDE Ireland Ltd","LoO 09/101052421 IM","2009","20,000.00","2014","20,000.00","BT80 9DG","P1","£ 29,673.47","Aims to provide additional functional or general management capability and capacity on a time limited basis normally in a ""hands on""/ line management role at a senior but subboard level. Direcly related to the deliver of a specific business improvement project."
"Randox Laboratories Ltd","RD1208030 - The Production of Human Enzymes by Recombinant Methods","2009","461,300.00","2015","422,609.64","BT29 4QY","P1","£ 1,318,000.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Randox Laboratories Ltd","RD1208031 - The Development of an Adressable Biochip Array","2009","1,756,800.00","2015","1,567,276.91","BT29 4QY","P1","£ 4,392,200.00","Invest NI have reviewed this case and are satisfied that this project is graded as low risk"
"Craigavon Borough Council","You CAN Develop It Innovation Programme","2010","125,300.00","2016","113,240.07","BT64 1AL","P2","£ 250,600.00","To assist businesses to understand and engender innovation and how this leads to continuous new product development; and to think, plan and behave innovatively in relation to the stage their product / service is at in its life cycle and to the preparation needed for bringing into being the next product generation; the programme will assist these companies in implementing significant improvements that will help accelerate their growth;"
"DETI - European Programmes","LED - Economic Appraisals, LED Workshop and Verification Workshop 2009 -10","2009","42,876.00","2015","42,875.99","","P4","£ 42,876.00","Assessment off applications, guidance for Councils on project good practice and guidance for LED Project officers on good practices in the verifying of expenditure under the Local Economic Competitiveness Programme."
"Banbridge District Council","Micro-Enterprise Marketing Programme","2010","32,845.00","2016","24,610.99","BT32 3JY","P2","£ 65,690.00","This programme is targeted at companies across Banbridge District who are not Invest NI clients. The programme would be designed to significantly enhance the marketing skills of participating companies and to lead to quantifiable business growth for all participants. This programme is expected to have 10 participants per wave and will run for two waves over a twelve-month period."
"DLLNI Ltd","Project 2/II","2008","17,700.40","2014","14,800.40","BT19 7QT","P1","£ 44,251.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
"Sisaf Ltd","RD0509207","2009","192,022.18","2015","150,843.63","BT37 0QB","P1","£ 240,026.99","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Helen Hall T/a Hallmark Solutions","RD0209104 - Development of Employee Self Service (ESS) Module","2009","22,058.00","2014","21,843.12","BT8 8DA","P1","£ 49,018.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Waste System Ltd","RD0609242","2009","53,520.00","2015","48,903.65","BT79 8EQ","P1","£ 89,200.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Dunbia (Northern Ireland)","RD1208036 - Factors Affecting Drip Loss","2009","89,460.00","2015","7,214.73","BT70 1NJ","P1","£ 238,561.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Wilson's Country Ltd","RD0109067","2009","128,232.55","2014","116,120.45","BT63 5RH","P1","£ 310,866.80","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Dernaseer Engineering Ltd","RD0509226 - Development of an Improved Low Cost Sand Plant System","2009","7,506.00","2015","3,458.00","BT70 3BW","P1","£ 15,012.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Moore Concrete Products Ltd","RD1208021","2009","203,201.00","2015","144,746.89","BT42 4QJ","P1","£ 677,339.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Alexander Fleming Johnston & Rosemary Jean Johnston","LoO 09/0070 MIS","2009","8,489.00","2014","8,488.00","BT60 3PR","P1","£ 21,022.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Jamijo Limited","LoO 09/0006 MIS","2009","5,047.00","2014","1,732.00","BT61 9LS","P1","£ 10,515.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Consilium Technologies Ltd","RD0209115","2009","15,903.00","2014","1,320.00","BT41 1QS","P1","£ 31,806.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Derry City Council","Clinical Translational Research and Innovation Programme","2010","125,000.00","2016","121,479.40","BT47 6BS","P2","£ 250,000.00","The Clinical Translational Research and Innovation Centre (C-TRIC) is a unique centre promoting and facilitating translational and clinical research, the primary objective of which is to reduce both the time to market and the costs associated with research and development of innovative health technologies, medical devices and therapeutics. Derry City Council and their partners are proposing a focused programme of support to enhance the capability of this NW strategic economic project to develop the life sciences sectors, in order to create high value commercial opportunities by exploiting partnerships between academic researchers, clinical practitioners and industry.     Council and its partners, Western Health and Social Care Trust and the University of Ulster have initiated the development of C-TRIC to support existing levels of economic activity in the NW through the provision of a modern facility that will promote new high value added employment in the region with a view to developing high growth companies with export based products and services. Moreover C-TRIC was set up to underpin the promotion of the NW region as an attractive location for Life Sciences companies.    C-TRIC proposes a programme of support permit the centre to achieve its economic development objectives over a three-year period. The specific objectives of this programme are:    · Provision of scientific business support and subsidised rental space to incubate fledgling businesses in the life and health science sector, ensuring survival and growth of those businesses – 15 companies supported in 2010-2013    · Promotion in selected global target markets with a view to attracting R&D; projects - 6 inward investment based R&D; projects attracted in 2010/13    · Increased volume of commercially sponsored pharmaceutical clinical trials - 12 additional clinical trials in 2010/13    · 15 additional commercial tenants undertaking collaborative research in C-TRIC in 2010/13    · Become an internationally recognised model of best practice for translational medicine in UK/Europe by 2012."
"Consilium Technologies Ltd","RD0209126","2009","22,866.00","2014","22,866.00","BT41 1QS","P1","£ 45,732.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Belfast City Council","Trading Development Initiative (TDI)","2010","118,250.00","2016","75,305.75","BT2 8BP","P2","£ 356,250.00","The Trading Development Initiative consists of five projects aimed at imporving the sustainability and increasing the competitiveness of Belfast's indigenous small business community.  In addition to support local businesses the TDI will also market the attractiveness of Belfast and the wider region for inward investment purposes."
"Derry City Council","Digital Derry Strategic Action Plan","2010","64,800.00","2016","57,083.81","","P2","£ 129,600.00","Research undertaken by Derry City Council and its strategic partners has shown that there is a significant digital sector in the City and the surrounding area with a number of substantial established firms which are serving international markets in their chosen market areas. Within that group there are a smaller number of businesses which are creating digital content in areas such as games, multimedia and broadcast and e-learning which are well established and have strong growth plans. In addition, there is a substantial ‘tail’ of businesses serving local markets and of informal businesses who may be preparing to trade on a formal basis or simply earning additional income from their creative skills.  During development of this strategy businesses suggested that more needed to be done for the sector in terms of animation, making connections and presenting the North West digital content offering in a confident manner in wider markets. We also noted that the businesses felt isolated and were seeking to solve their own problems themselves rather than working in association with other businesses and/or the business support structures.  There is, therefore, an opportunity to improve the functioning of the businesses and of the business support structures by bringing them together, by increasing the knowledge and understanding in digital businesses of the support available to them and by increasing the knowledge in the business support organisations of the issues facing digital content businesses in the North West. This needs to be done in a way which respects and complements the role of regional business support organisations, such as Invest NI and Digital Circle and which respects and complements the existing business support organisations in Derry and the North West.  The overall strategic aim of the Digital Derry Strategy would, therefore, be to increase the rate of growth of the digital content sector in the City by   raising awareness and understanding of the needs of the sector,   developing local initiatives to complement regional support mechanisms,   animating sectoral networks and   raising awareness of the City’s digital content offering in wider markets.    An two-year action plan has been identified and agreed to deliver on these four strategic aims. This submission is seeking the required financial resources to take this strategic plan forward with the ultimate aim of growing the digital sector within the city and creating sustainable and high value employment."
"DLLNI Ltd","Project 1/II","2008","27,563.20","2014","17,405.48","BT19 7QT","P1","£ 68,908.00","To stimulate manufacturing businesses to develop innovative and high technology products and processes within a strategic business framework that improves their national and international competitiveness."
